date;amount_sek;currency;original_amount;direction;suggested_account;category_hint;counterparty;description;notes;needs_review;source_file
2026-01-20;398.00;SEK;398.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01200091424 (4 kortköp, payout 394.14);REF=B01200091424 matchar Marginalen B-rad 394.14;NO;monthly_report_202601.xlsx
2026-01-20;-3.86;SEK;-3.86;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01200091424;;NO;monthly_report_202601.xlsx
2026-01-21;1494.00;SEK;1494.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01210114816 (6 kortköp, payout 1484.31);REF=B01210114816 matchar Marginalen B-rad 1484.31;NO;monthly_report_202601.xlsx
2026-01-21;-9.69;SEK;-9.69;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01210114816;;NO;monthly_report_202601.xlsx
2026-01-22;1378.00;SEK;1378.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01220140280 (3 kortköp, payout 1368.96);REF=B01220140280 matchar Marginalen B-rad 1368.96;NO;monthly_report_202601.xlsx
2026-01-22;-9.04;SEK;-9.04;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01220140280;;NO;monthly_report_202601.xlsx
2026-01-24;5284.44;SEK;5284.44;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01240194434 (13 kortköp, payout 5249.78);REF=B01240194434 matchar Marginalen B-rad 5249.78;NO;monthly_report_202601.xlsx
2026-01-24;-34.66;SEK;-34.66;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01240194434;;NO;monthly_report_202601.xlsx
2026-01-26;3073.00;SEK;3073.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01260240243 (12 kortköp, payout 3031.64);REF=B01260240243 matchar Marginalen B-rad 3031.64;NO;monthly_report_202601.xlsx
2026-01-26;-41.36;SEK;-41.36;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01260240243;;NO;monthly_report_202601.xlsx
2026-01-27;2366.00;SEK;2366.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01270256020 (8 kortköp, payout 2350.63);REF=B01270256020 matchar Marginalen B-rad 2350.63;NO;monthly_report_202601.xlsx
2026-01-27;-15.37;SEK;-15.37;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01270256020;;NO;monthly_report_202601.xlsx
2026-01-28;1581.00;SEK;1581.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01280278972 (8 kortköp, payout 1570.73);REF=B01280278972 matchar Marginalen B-rad 1570.73;NO;monthly_report_202601.xlsx
2026-01-28;-10.27;SEK;-10.27;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01280278972;;NO;monthly_report_202601.xlsx
2026-01-29;4091.00;SEK;4091.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01290305116 (14 kortköp, payout 4064.41);REF=B01290305116 matchar Marginalen B-rad 4064.41;NO;monthly_report_202601.xlsx
2026-01-29;-26.59;SEK;-26.59;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01290305116;;NO;monthly_report_202601.xlsx
2026-01-31;9993.00;SEK;9993.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01310359414 (35 kortköp, payout 9927.88);REF=B01310359414 matchar Marginalen B-rad 9927.88;NO;monthly_report_202601.xlsx
2026-01-31;-65.12;SEK;-65.12;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01310359414;;NO;monthly_report_202601.xlsx
2026-02-01;0.00;SEK;0.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02010386401 (0 kortköp, payout 5.48);REF=B02010386401 matchar Marginalen B-rad 5.48;NO;monthly_report_202602.xlsx
2026-02-02;3871.00;SEK;3871.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02020405609 (11 kortköp, payout 3845.85);REF=B02020405609 matchar Marginalen B-rad 3845.85;NO;monthly_report_202602.xlsx
2026-02-02;-25.15;SEK;-25.15;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02020405609;;NO;monthly_report_202602.xlsx
2026-02-03;843.00;SEK;843.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02030422253 (6 kortköp, payout 837.53);REF=B02030422253 matchar Marginalen B-rad 837.53;NO;monthly_report_202602.xlsx
2026-02-03;-5.47;SEK;-5.47;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02030422253;;NO;monthly_report_202602.xlsx
2026-02-04;1268.00;SEK;1268.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02040445787 (8 kortköp, payout 1259.77);REF=B02040445787 matchar Marginalen B-rad 1259.77;NO;monthly_report_202602.xlsx
2026-02-04;-8.23;SEK;-8.23;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02040445787;;NO;monthly_report_202602.xlsx
2026-02-05;1764.00;SEK;1764.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02050471530 (7 kortköp, payout 1752.54);REF=B02050471530 matchar Marginalen B-rad 1752.54;NO;monthly_report_202602.xlsx
2026-02-05;-11.46;SEK;-11.46;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02050471530;;NO;monthly_report_202602.xlsx
2026-02-06;506.00;SEK;506.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02060497853 (4 kortköp, payout 502.72);REF=B02060497853 matchar Marginalen B-rad 502.72;NO;monthly_report_202602.xlsx
2026-02-06;-3.28;SEK;-3.28;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02060497853;;NO;monthly_report_202602.xlsx
2026-02-07;3615.00;SEK;3615.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02070523538 (12 kortköp, payout 3591.33);REF=B02070523538 matchar Marginalen B-rad 3591.33;NO;monthly_report_202602.xlsx
2026-02-07;-23.67;SEK;-23.67;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02070523538;;NO;monthly_report_202602.xlsx
2026-02-09;3722.00;SEK;3722.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02090569951 (7 kortköp, payout 3697.82);REF=B02090569951 matchar Marginalen B-rad 3697.82;NO;monthly_report_202602.xlsx
2026-02-09;-24.18;SEK;-24.18;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02090569951;;NO;monthly_report_202602.xlsx
