"""Preliminär Verifikationslista""",,,,,
Samis Jackets AB,,,,,
559489-5301,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:20",,,,,
,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,
,,,,,
"""Verifikation""","""Datum""","""Beskrivning/Konto""","""Typ""","""Debet""","""Kredit"""
,,"2893 Skulder till närstående personer, kortfristig del",,,499.00
,,5460 Förbrukningsmaterial,,399.20,
,,,,,
A 28,2024-10-10,biltema,,,
,,2641 Debiterad ingående moms,,240.20,
,,"2893 Skulder till närstående personer, kortfristig del",,,1201.00
,,5460 Förbrukningsmaterial,,960.80,
,,,,,
A 29,2024-10-28,Biltema,,,
,,2641 Debiterad ingående moms,,79.80,
,,"2893 Skulder till närstående personer, kortfristig del",,,399.00
,,5460 Förbrukningsmaterial,,319.20,
,,,,,
A 30,2024-10-15,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,47.92,
,,"2893 Skulder till närstående personer, kortfristig del",,,240.00
,,5460 Förbrukningsmaterial,,192.08,
,,,,,
A 31,2024-10-28,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,7.98,
,,"2893 Skulder till närstående personer, kortfristig del",,,40.00
,,5460 Förbrukningsmaterial,,32.02,
,,,,,
A 32,2024-10-12,LIDL,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,504.54
,,"6992 Övriga externa kostnader, ej avdragsgilla",,504.54,
,,,,,
A 33,2024-10-25,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,299.80,
,,"2893 Skulder till närstående personer, kortfristig del",,,1499.00
,,5410 Förbrukningsinventarier,,1199.20,
,,,,,
A 34,2024-10-11,biltema,,,
,,2641 Debiterad ingående moms,,160.40,
,,"2893 Skulder till närstående personer, kortfristig del",,,802.00
,,6110 Kontorsmateriel,,641.60,
,,,,,
A 35,2024-10-10,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,20.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,80.00
,,5460 Förbrukningsmaterial,,60.00,
,,,,,
A 36,2024-10-30,WILLYS,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1053.40
,,"6992 Övriga externa kostnader, ej avdragsgilla",,1053.40,
,,,,,
A 37,2024-10-16,Aimo Park Sweden,,,
,,2641 Debiterad ingående moms,,62.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,314.95
,,"5610 Personbils- och mc-kostnader, m.m.",,252.95,
,,,,,
A 38,2024-10-28,utgift/kostnad (shell drivmedel ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,672.45
,,"5611 Drivmedel för personbilar, mc, m.m.",,672.45,
,,,,,
A 39,2024-10-02,utgift/kostnad (okq8 drivmedel ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,745.39
,,"5611 Drivmedel för personbilar, mc, m.m.",,745.39,
,,,,,
A 40,2024-10-01,utgift/kostnad (okq8 drivmedel ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,550.29
,,"5611 Drivmedel för personbilar, mc, m.m.",,550.29,
,,,,,
A 41,2024-10-26,max burgers,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,490.00
,,"6992 Övriga externa kostnader, ej avdragsgilla",,490.00,
,,,,,
A 42,2024-10-26,max burgers,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,25.00
,,"6992 Övriga externa kostnader, ej avdragsgilla",,25.00,
,,,,,
A 43,2024-10-29,max burgers,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,590.00
,,"6992 Övriga externa kostnader, ej avdragsgilla",,590.00,
,,,,,
A 44,2024-10-11,max burgers,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,422.00
,,"6992 Övriga externa kostnader, ej avdragsgilla",,422.00,
,,,,,
A 45,2024-10-11,max burgers,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,91.00
,,"6992 Övriga externa kostnader, ej avdragsgilla",,91.00,
,,,,,
A 46,2024-10-18,shopify avgift f. 285551379,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1222.65
,,6590 Övriga externa tjänster,,1222.65,
,,,,,
A 47,2024-10-29,Aimo Park Sweden,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,29.99
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,29.99,
,,,,,
A 48,2024-10-21,(Fastighets AB Akvarium ) Lokaldeposition,,,
,,"1383 Lämnade depositioner, långfristiga",,120000.00,
,,1930 Företagskonto,,,120000.00
,,,,,
A 49,2024-11-07,Biltema,,,
,,2641 Debiterad ingående moms,,32.94,
,,"2893 Skulder till närstående personer, kortfristig del",,,164.70
,,5460 Förbrukningsmaterial,,131.76,
,,,,,
A 50,2024-11-07,RUSTA,,,
,,2641 Debiterad ingående moms,,9.98,
,,"2893 Skulder till närstående personer, kortfristig del",,,49.90
,,5460 Förbrukningsmaterial,,39.92,
,,,,,
A 51,2024-11-04,WILLYS,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1726.09
,,"6992 Övriga externa kostnader, ej avdragsgilla",,1726.09,
,,,,,
A 52,2024-11-06,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,3.98,
,,"2893 Skulder till närstående personer, kortfristig del",,,20.00
,,5070 Reparation och underhåll av lokaler,,16.02,
,,,,,
A 53,2024-11-02,Biltema,,,
,,2641 Debiterad ingående moms,,154.10,
,,"2893 Skulder till närstående personer, kortfristig del",,,770.50
,,5070 Reparation och underhåll av lokaler,,616.40,
,,,,,
A 54,2024-11-07,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,35.98,
,,"2893 Skulder till närstående personer, kortfristig del",,,180.00
,,6110 Kontorsmateriel,,144.02,
,,,,,
A 55,2024-11-14,WILLYS,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,3210.24
,,"6992 Övriga externa kostnader, ej avdragsgilla",,3210.24,
,,,,,
A 56,2024-11-11,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,79.80,
,,"2893 Skulder till närstående personer, kortfristig del",,,399.00
,,5460 Förbrukningsmaterial,,319.20,
,,,,,
A 57,2024-11-07,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,129.88,
,,"2893 Skulder till närstående personer, kortfristig del",,,649.00
,,5460 Förbrukningsmaterial,,519.12,
,,,,,
A 58,2024-11-12,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,,109.82
,,"2893 Skulder till närstående personer, kortfristig del",,549.00,
,,5460 Förbrukningsmaterial,,,439.18
,,,,,
A 59,2024-11-07,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,43.80,
,,"2893 Skulder till närstående personer, kortfristig del",,,219.00
,,5070 Reparation och underhåll av lokaler,,175.20,
,,,,,
A 60,2024-11-30,"Assemblin EL AB (korrigerad med verifikation A243 av Mohammad Sami Alsharef, 2025-06-27) (korrigerad med verifikation A2",,,
,,2641 Debiterad ingående moms,,901.41,
,,"2893 Skulder till närstående personer, kortfristig del",,,4507.00
,,4001 Inkop av tjanst,,3605.59,
,,,,,
A 61,2024-11-15,Aimo Park Sweden,,,
,,2641 Debiterad ingående moms,,62.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,314.95
,,"5610 Personbils- och mc-kostnader, m.m.",,252.95,
,,,,,
A 62,2024-10-08,utgift/kostnad (okq8),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,687.59
,,"5611 Drivmedel för personbilar, mc, m.m.",,687.59,
,,,,,
A 63,2024-11-01,google GSUITE SAMISJAC,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,163.15
,,6540 IT-tjänster,,163.15,
,,,,,
