"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"20241030-1043-01-03","Model 1043 Women Long Coat - Black / L *KAMPANJ*",1.000,559.20,139.80,699.00,599.25,-40.05,-0.07162017167381974249
"20241030-1045-01-03","Model 1045 Women Long Coat - Beige / L *KAMPANJ*",1.000,559.20,139.80,699.00,389.25,169.95,0.30391630901287553648
"20241030-1048-03-04","Model 1048 Women Long Coat - Purple / XL *KAMPANJ*",1.000,800.00,200.00,1000.00,749.25,50.75,0.06343750000000000000
"20241030-1051-01-02","Model 1051 Women Long Coat - Black / M *KAMPANJ*",1.000,480.00,120.00,600.00,749.25,-269.25,-0.56093750000000000000
"221-Black-5XL","XL 221 Men’s Puffer Jacket - Black / CN 5XL = EU L *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"23280-Beige-2XL","GY582 Women’s Puffer Jackets - Beige / 2XL *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"23280-Black-L","GY582 Women’s Puffer Jackets - Black / L *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"23280-Brown-2XL","GY582 Women’s Puffer Jackets - Brown / 2XL *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"24819-Black-2XL","YR2 Men’s Sweaters - Black / CN 2XL = EU M *KAMPANJ*",11.000,791.20,197.80,989.00,447.50,343.70,0.43440343781597573306
"24819-Black-XL","YR2 Men’s Sweaters - Black / CN XL = EU S *KAMPANJ*",1.000,63.20,15.80,79.00,89.50,-26.30,-0.41613924050632911392
"24819-Red-L","YR2 Men’s Sweaters - Grey / CN L = EU XS *KAMPANJ*",1.000,63.20,15.80,79.00,89.50,-26.30,-0.41613924050632911392
"333-Brown-110","INCI 333 Children’s Puffer Jackets - purple / 110 *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"444-Black-110","INCI 444 Children’s Puffer Jackets - Black / M *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"518-Yellow-L","INCI 518 Women’s Puffer Jackets - Light green / L *KAMPANJ*",1.000,79.20,19.80,99.00,349.50,-270.30,-3.4128787878787879
"5860-Black-2XL","GY 5860 Women’s Puffer Jackets - Black / 2XL *KAMPANJ*",1.000,159.20,39.80,199.00,249.50,-90.30,-0.56721105527638190955
"615-BEIGE-36","DY 615 Women’s Slippers - BEIGE / 36 *KAMPANJ*",14.000,892.80,223.20,1116.00,451.50,441.30,0.49428763440860215054
"615-BEIGE-37","DY 615 Women’s Slippers - BEIGE / 37 *KAMPANJ*",18.000,996.00,249.00,1245.00,387.00,609.00,0.61144578313253012048
"615-BEIGE-38","DY 615 Women’s Slippers - BEIGE / 38 *KAMPANJ*",9.000,449.60,112.40,562.00,64.50,385.10,0.85653914590747330961
"615-BEIGE-39","DY 615 Women’s Slippers - BEIGE / 39 *KAMPANJ*",10.000,482.40,120.60,603.00,516.00,-33.60,-0.06965174129353233831
"615-BEIGE-40","DY 615 Women’s Slippers - BEIGE / 40 *KAMPANJ*",3.000,205.60,51.40,257.00,193.50,12.10,0.05885214007782101167
"615-BEIGE-41","DY 615 Women’s Slippers - BEIGE / 41 *KAMPANJ*",3.000,237.60,59.40,297.00,193.50,44.10,0.18560606060606060606
"615-BLACK-37","DY 615 Women’s Slippers - BLACK / 37 *KAMPANJ*",1.000,0.00,0.00,0.00,64.50,-64.50,
"615-BLACK-40","DY 615 Women’s Slippers - BLACK / 40 *KAMPANJ*",1.000,103.20,25.80,129.00,0.00,103.20,1.00000000000000000000
"615-BROWN-38","DY 615 Women’s Slippers - WHITE / 38 *KAMPANJ*",1.000,79.20,19.80,99.00,64.50,14.70,0.18560606060606060606
"622-BLACK-36","HZ CM20 Women’s Sneakers - RED / 36 *KAMPANJ*",2.000,142.40,35.60,178.00,49.50,92.90,0.65238764044943820225
"625-BLACK-40","HZ 8686 Women’s Sneakers - BLACK / 40 *KAMPANJ*",1.000,63.20,15.80,79.00,49.50,13.70,0.21677215189873417722
"6332-BEIGE-36","CHW 6332 Women’s Sneakers - BEIGE / 36 *KAMPANJ*",1.000,239.20,59.80,299.00,149.50,89.70,0.37500000000000000000
"6607-D-US","6607 Leggings For Everyday Wear - Default / Universal Size *KAMPANJ*",15.000,940.00,235.00,1175.00,693.00,247.00,0.26276595744680851064
"708-RED-39","HZ 708 Women’s Sneakers - RED / 39 *KAMPANJ*",1.000,63.20,15.80,79.00,84.50,-21.30,-0.33702531645569620253
"71602-BEIGE-36","DY 71602 Women’s Slippers - BEIGE / 36 *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"836-Black-L","INCI 836 Women’s Puffer Jackets - Black / L *KAMPANJ*",1.000,239.20,59.80,299.00,349.50,-110.30,-0.46112040133779264214
"836-Black-XL","INCI 836 Women’s Puffer Jackets - Black / XL *KAMPANJ*",2.000,558.40,139.60,698.00,349.50,208.90,0.37410458452722063037
"837-BLACK-39","HZ 837 Men’s Sneakers - BLACK / 39 *KAMPANJ*",1.000,79.20,19.80,99.00,0.00,79.20,1.00000000000000000000
"837-Black-M","INCI 837 Women’s Puffer Jackets - Black / M *KAMPANJ*",2.000,718.40,179.60,898.00,0.00,718.40,1.00000000000000000000
"837-Black-S","INCI 837 Women’s Puffer Jackets - Black / 2XL *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"837-Black-XL","INCI 837 Women’s Puffer Jackets - Black / XL *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"837-BROWN-43","HZ 837 Men’s Sneakers - BROWN / 43 *KAMPANJ*",1.000,79.20,19.80,99.00,0.00,79.20,1.00000000000000000000
"85550-Grey-2XL","GY 85550 Women’s Puffer Jackets - White / 2XL *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"868-8-RED-38","HZ 868-8 Women’s Sneakers - RED / 38 *KAMPANJ*",1.000,63.20,15.80,79.00,49.50,13.70,0.21677215189873417722
"868-Beige-2XL","GY1 Women’s Puffer Jackets - Beige / 2XL *KAMPANJ*",6.000,955.20,238.80,1194.00,1497.00,-541.80,-0.56721105527638190955
"868-Beige-L","GY1 Women’s Puffer Jackets - Beige / L *KAMPANJ*",3.000,557.60,139.40,697.00,748.50,-190.90,-0.34236011477761836442
"868-Beige-M","GY1 Women’s Puffer Jackets - Beige / 4XL *KAMPANJ*",2.000,318.40,79.60,398.00,499.00,-180.60,-0.56721105527638190955
"868-Beige-S","GY1 Women’s Puffer Jackets - Beige / 3XL *KAMPANJ*",2.000,398.40,99.60,498.00,249.50,148.90,0.37374497991967871486
"868-Beige-XL","GY1 Women’s Puffer Jackets - Beige / XL *KAMPANJ*",1.000,159.20,39.80,199.00,249.50,-90.30,-0.56721105527638190955
"868-Black-2XL","GY1 Women’s Puffer Jackets - Black / 2XL *KAMPANJ*",1.000,319.20,79.80,399.00,249.50,69.70,0.21835839598997493734
"868-Brown-L","GY1 Women’s Puffer Jackets - Green / L *KAMPANJ*",1.000,159.20,39.80,199.00,249.50,-90.30,-0.56721105527638190955
"868-Brown-XL","GY1 Women’s Puffer Jackets - Green / XL *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"868-Grey-2XL","GY1 Women’s Puffer Jackets - Pink / 2XL *KAMPANJ*",1.000,159.20,39.80,199.00,249.50,-90.30,-0.56721105527638190955
"88006-Beige-L","GY24 Women’s Puffer Jackets - White / L *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"8805-Black-5XL","XL 8805 Men’s Puffer Jacket - Black / CN 5XL = EU XL *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"8805-DarkBlue-5XL","XL 8805 Men’s Puffer Jacket - Dark Blue / CN 5XL = EU XL *KAMPANJ*",1.000,239.20,59.80,299.00,199.50,39.70,0.16596989966555183946
"8806-Brown-L","GY 8306 - Pink / L   *KAMPANJ*",1.000,183.20,45.80,229.00,249.50,-66.30,-0.36189956331877729258
"8806-Grey-3XL","XL 8806 Men’s Puffer Jacket - Green / CN 3XL = EU M *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"8810-Grey-M","GY 8810 Women’s Puffer Jackets - Green / 3XL *KAMPANJ*",1.000,159.20,39.80,199.00,249.50,-90.30,-0.56721105527638190955
"886-Beige-L","GY 886 Women’s Puffer Jackets - Beige / L *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"886-Black-2XL","GY 886 Women’s Puffer Jackets - Black / 2XL *KAMPANJ*",1.000,159.20,39.80,199.00,249.50,-90.30,-0.56721105527638190955
"886-Black-L","GY 886 Women’s Puffer Jackets - Black / L *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"886-Black-M","GY 886 Women’s Puffer Jackets - Black / M *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"886-Black-XL","GY 886 Women’s Puffer Jackets - Black / XL *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"8875-Black-L","INCI 8875 Women’s Puffer Jacket - Black / L *KAMPANJ*",1.000,719.20,179.80,899.00,649.50,69.70,0.09691323692992213571
"8890-Beige-2XL","GY 889 Women’s Puffer Jackets - Beige / 2XL *KAMPANJ*",1.000,159.20,39.80,199.00,249.50,-90.30,-0.56721105527638190955
"8890-Beige-M","GY 889 Women’s Puffer Jackets - Beige / 3XL *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"8890-Black-M","GY 889 Women’s Puffer Jackets - Black / 3XL *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"895599-Black-2XL","XL 895599 Men’s Puffer Jacket - Black / CN 2XL = EU M *KAMPANJ*",2.000,398.40,99.60,498.00,499.00,-100.60,-0.25251004016064257028
"9011-BEIGE-39","HZ F9373/7M Men’s Sneakers - GRY / 39 *KAMPANJ*",3.000,237.60,59.40,297.00,0.00,237.60,1.00000000000000000000
"9011-BLACK-42","HZ F9373/7M Men’s Sneakers - BLACK / 42 *KAMPANJ*",1.000,79.20,19.80,99.00,0.00,79.20,1.00000000000000000000
"970-D-US","High-Performance 970 Leggings for Ultimate Comfort - Default / Universal Size *KAMPANJ*",16.000,995.20,248.80,1244.00,747.00,248.20,0.24939710610932475884
"98-17-BROWN-39","HZ 98-17 Men’s Sneakers - BROWN / 39 *KAMPANJ*",23.000,1578.40,394.60,1973.00,760.50,817.90,0.51818297009630005068
"98-17-BROWN-40","HZ 98-17 Men’s Sneakers - BROWN / 40 *KAMPANJ*",16.000,1012.00,253.00,1265.00,1014.00,-2.00,-0.00197628458498023715
"98-17-BROWN-41","HZ 98-17 Men’s Sneakers - BROWN / 41 *KAMPANJ*",4.000,237.60,59.40,297.00,0.00,237.60,1.00000000000000000000
"98-17-BROWN-42","HZ 98-17 Men’s Sneakers - BROWN / 42 *KAMPANJ*",3.000,237.60,59.40,297.00,0.00,237.60,1.00000000000000000000
"98-17-BROWN-43","HZ 98-17 Men’s Sneakers - BROWN / 43 *KAMPANJ*",7.000,538.40,134.60,673.00,507.00,31.40,0.05832095096582466568
"98-17-KHAKI-39","HZ 98-17 Men’s Sneakers - Black / 39 *KAMPANJ*",1.000,79.20,19.80,99.00,84.50,-5.30,-0.06691919191919191919
"98-17-KHAKI-41","HZ 98-17 Men’s Sneakers - Black / 41 *KAMPANJ*",1.000,63.20,15.80,79.00,84.50,-21.30,-0.33702531645569620253
"98-6-BLACK-39","HZ 98-6 Men’s Sneakers - BLACK / 39 *KAMPANJ*",3.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"98-6-GREY-40","HZ 98-6 Men’s Sneakers - GREY / 40 *KAMPANJ*",1.000,63.20,15.80,79.00,49.50,13.70,0.21677215189873417722
"9901-D-US","Comfortable 9901 Leggings for Everyday Wear and... - Default / Universal Size *KAMPANJ*",8.000,442.40,110.60,553.00,236.00,206.40,0.46654611211573236890
"9903-D-US","9903 Leggings for Comfort and Flexibility - Default / Universal Size *KAMPANJ*",7.000,379.20,94.80,474.00,206.50,172.70,0.45543248945147679325
"9956-D-US","9956 Leggings for Comfort and Fashionable Fit - Default / Universal Size *KAMPANJ*",2.000,63.20,15.80,79.00,99.00,-35.80,-0.56645569620253164557
"99851-Beige-2XL","GY 998 Women’s Puffer Jackets - Beige / 2XL *KAMPANJ*",2.000,318.40,79.60,398.00,499.00,-180.60,-0.56721105527638190955
"99851-Black-2XL","GY 998 Women’s Puffer Jackets - Black / 2XL *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"9988-Grey-XL","XL 9988 Men’s Puffer Jacket - Grey / CN XL = EU M *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"AC10-BLACK-38","CHW AC10 Women’s Sneakers - BLACK / 38 *KAMPANJ*",3.000,525.60,131.40,657.00,299.00,226.60,0.43112633181126331811
"AC10-BLACK-40","CHW AC10 Women’s Sneakers - BLACK / 40 *KAMPANJ*",1.000,143.20,35.80,179.00,149.50,-6.30,-0.04399441340782122905
"AC10-GREY-38","CHW AC10 Women’s Sneakers - GREY / 38 *KAMPANJ*",1.000,143.20,35.80,179.00,149.50,-6.30,-0.04399441340782122905
"AC-A-US","AC Top Wool - Amber / Universal Size *KAMPANJ*",3.000,478.40,119.60,598.00,598.50,-120.10,-0.25104515050167224080
"AC-C-US","AC Top Wool - Choco / Universal Size *KAMPANJ*",3.000,478.40,119.60,598.00,598.50,-120.10,-0.25104515050167224080
"AC-C-US-3","AC 896 Women’s Fur-Trimmed Wool and Polyester Tops - Choco / Universal Size *KAMPANJ*",1.000,0.00,0.00,0.00,0.00,0.00,
"AD225-Beige-L","MG AD225 Women’s Sporty Winter Tracksuit - RED / L *KAMPANJ*",6.000,956.80,239.20,1196.00,0.00,956.80,1.00000000000000000000
"AD225-Beige-M","MG AD225 Women’s Sporty Winter Tracksuit - RED / M *KAMPANJ*",4.000,716.80,179.20,896.00,199.50,517.30,0.72167968750000000000
"AD225-Beige-XL","MG AD225 Women’s Sporty Winter Tracksuit - RED / XL *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"AD225-Black-M","MG AD225 Women’s Sporty Winter Tracksuit - Black / M *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"AD225-Grey-L","MG AD225 Women’s Sporty Winter Tracksuit - Grey / L *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"AD256-Beige-L","MG AD256 Women’s Sporty Winter Tracksuit - RED / L *KAMPANJ*",2.000,318.40,79.60,398.00,0.00,318.40,1.00000000000000000000
"AD256-Grey-M","MG AD256 Women’s Sporty Winter Tracksuit - Grey / M *KAMPANJ*",2.000,318.40,79.60,398.00,0.00,318.40,1.00000000000000000000
"AF06-KHAKI-39","CHW AF06 Women’s Sneakers - KHAKI / 39 *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"AF06-KHAKI-40","CHW AF06 Women’s Sneakers - KHAKI / 40 *KAMPANJ*",1.000,239.20,59.80,299.00,149.50,89.70,0.37500000000000000000
"ALEX-129","ALEX Women's Collection - Luxury Style $129 - S *KAMPANJ*",24.000,2330.40,582.60,2913.00,0.00,2330.40,1.00000000000000000000
"ALEX-149","ALEX Women's Collection - Signature Style $149 - S *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"ALEX-49","ALEX Women's Collection - Premium Style $49 - S *KAMPANJ*",20.000,712.00,178.00,890.00,0.00,712.00,1.00000000000000000000
"ALEX-79","ALEX Women's Collection - Designer Style $79 - S *KAMPANJ*",25.000,1293.60,323.40,1617.00,0.00,1293.60,1.00000000000000000000
"ALEX-99","ALEX Women's Collection - Exclusive Style $99 - S *KAMPANJ*",8.000,713.60,178.40,892.00,0.00,713.60,1.00000000000000000000
"ALEX-D-US","Alex - Default / Universal Size *KAMPANJ*",117.000,5866.40,1466.60,7333.00,7125.00,-1258.60,-0.21454384290195008864
"BAJ318-Beige-2XL","G2 BAJ318 SUMMER Men’s Sporty Tracksuit - Beige / 2XL *KAMPANJ*",3.000,597.60,149.40,747.00,748.50,-150.90,-0.25251004016064257028
"BAJ318-Beige-3XL","G2 BAJ318 SUMMER Men’s Sporty Tracksuit - Beige / 3XL *KAMPANJ*",5.000,1100.00,275.00,1375.00,998.00,102.00,0.09272727272727272727
"BAJ318-Beige-L","G2 BAJ318 SUMMER Men’s Sporty Tracksuit - Beige / L *KAMPANJ*",2.000,240.00,60.00,300.00,499.00,-259.00,-1.0791666666666667
"BAJ318-Beige-M","G2 BAJ318 SUMMER Men’s Sporty Tracksuit - Beige / M *KAMPANJ*",3.000,598.40,149.60,748.00,249.50,348.90,0.58305481283422459893
"BAJ50-Beige-L","G2 BAJ50 Men’s Sporty Multi Season Tracksuit Set - Beige / L *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"BAJ50-Grey-M","G2 BAJ50 Men’s Sporty Multi Season Tracksuit Set - Grey / M *KAMPANJ*",2.000,478.40,119.60,598.00,0.00,478.40,1.00000000000000000000
"BAJ50-L-XL","G2 BAJ50 Men’s Sporty Multi Season Tracksuit Set - L grey / XL *KAMPANJ*",3.000,637.60,159.40,797.00,499.00,138.60,0.21737766624843161857
"BAJ51-Beige-XL","G2 BAJ51 Men’s Sporty Multi Season Tracksuit Set - White / XL *KAMPANJ*",2.000,478.40,119.60,598.00,0.00,478.40,1.00000000000000000000
"BAJ52-Beige-L","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Beige / L *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"BAJ53-Beige-L","G2 BAJ53 Men’s Sporty Multi Season Tracksuit - Beige / L *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"C191-BLACK-40","CH C191 Men’s Sneakers - BLACK / 40 *KAMPANJ*",1.000,143.20,35.80,179.00,149.50,-6.30,-0.04399441340782122905
"C191-BLACK-43","CH C191 Men’s Sneakers - BLACK / 43 *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"C196-BLACK-44","CH C196 Men’s Sneakers - BLACK / 44 *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"CF2-P-US","CF2 Sweater Women’s - Purple / Universal Size *KAMPANJ*",4.000,572.80,143.20,716.00,598.00,-25.20,-0.04399441340782122905
"CF2-P-US-2","CF2 Sweater Women’s - Pink / Universal Size *KAMPANJ*",2.000,207.20,51.80,259.00,299.00,-91.80,-0.44305019305019305019
"CF3-G-US","CF3 Sweater Women’s - Gray / Universal Size *KAMPANJ*",1.000,143.20,35.80,179.00,0.00,143.20,1.00000000000000000000
"CF3-P-US-2","CF3 Sweater Women’s - Purple / Universal Size *KAMPANJ*",1.000,143.20,35.80,179.00,0.00,143.20,1.00000000000000000000
"CF5-B-US","CF5 Women’s Knit Sweater - Black / Universal Size *KAMPANJ*",1.000,199.20,49.80,249.00,149.50,49.70,0.24949799196787148594
"CHB335-Beige-13-14","MG CHB335 Childrens Sporty Winter Tracksuit - Beige / 13-14 *KAMPANJ*",1.000,159.20,39.80,199.00,164.50,-5.30,-0.03329145728643216080
"CHB335-Brown-15-16","MG CHB335 Childrens Sporty Winter Tracksuit - Brown / 15-16 *KAMPANJ*",1.000,135.20,33.80,169.00,164.50,-29.30,-0.21671597633136094675
"CHB335-Grey-11-12","MG CHB335 Childrens Sporty Winter Tracksuit - Grey / 11-12 *KAMPANJ*",1.000,135.20,33.80,169.00,164.50,-29.30,-0.21671597633136094675
"CK22-BLACK-37","CHW CK22 Women’s Sneakers - BLACK / 37 *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"CK22-BLACK-38","CHW CK22 Women’s Sneakers - BLACK / 38 *KAMPANJ*",1.000,239.20,59.80,299.00,149.50,89.70,0.37500000000000000000
"D8666-10-Louis-Brown","MS D8666-10 Women'S Handbag - Brown *KAMPANJ*",20.000,1512.80,378.20,1891.00,1393.00,119.80,0.07919090428344791116
"D8666-22-Black","MS D8666-22 Women's Handbag - Black *KAMPANJ*",17.000,941.60,235.40,1177.00,995.00,-53.40,-0.05671197960917587086
"DL596-Beige-OneSize","MG DL596 Women’s Sporty Long Cotton Dress - Beige / One Size *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"DL596-Black-OneSize","MG DL596 Women’s Sporty Long Cotton Dress - Black / One Size *KAMPANJ*",6.000,1115.20,278.80,1394.00,329.00,786.20,0.70498565279770444763
"DL596-Brown-OneSize","MG DL596 Women’s Sporty Long Cotton Dress - Pink / One Size *KAMPANJ*",3.000,557.60,139.40,697.00,329.00,228.60,0.40997130559540889527
"DL596-G-OS","MG DL596 Women’s Sporty Long Cotton Dress - Green / One Size *KAMPANJ*",1.000,199.20,49.80,249.00,164.50,34.70,0.17419678714859437751
"DV507-Beige-M","MG DV507 Women’s Sporty Winter Tracksuit - Beige / M *KAMPANJ*",2.000,294.40,73.60,368.00,499.00,-204.60,-0.69497282608695652174
"DV507-Grey-L","MG DV507 Women’s Sporty Winter Tracksuit - Grey / L *KAMPANJ*",2.000,518.40,129.60,648.00,499.00,19.40,0.03742283950617283951
"EE06-GREY-39","CHW EE06 Women’s Sneakers - GREY / 39 *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"EE06-PINK-36","CHW EE06 Women’s Sneakers - PINK / 36 *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"G8666-112","Icon Handbag G8666-112 *KAMPANJ*",2.000,298.40,74.60,373.00,0.00,298.40,1.00000000000000000000
"G8666-31-London-Brown","MS G8666-31 Women's Handbag - Brown *KAMPANJ*",7.000,332.00,83.00,415.00,497.50,-165.50,-0.49849397590361445783
