"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"TOY996154","XZ Remote Control Car 996-154 (96 pcs) *KAMPANJ*",1.000,199.20,49.80,249.00,0.00,199.20,1.00000000000000000000
"TOYQB62072E","XZ Toy Gun QB6207-2E (108 pcs) *KAMPANJ*",4.000,797.60,199.40,997.00,0.00,797.60,1.00000000000000000000
"TZ302-Beige-L","G2 TZ302 Men’s Sporty Winter Tracksuit - Dark Blue / L *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"TZ302-Beige-M","G2 TZ302 Men’s Sporty Winter Tracksuit - Dark Blue / M *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"TZ302-Beige-XL","G2 TZ302 Men’s Sporty Winter Tracksuit - Dark Blue / XL *KAMPANJ*",1.000,199.20,49.80,249.00,299.50,-100.30,-0.50351405622489959839
"TZ302-Black-XL","G2 TZ302 Men’s Sporty Winter Tracksuit - Black / XL *KAMPANJ*",1.000,199.20,49.80,249.00,299.50,-100.30,-0.50351405622489959839
"TZ303-Grey-XL","G2 TZ303 Men’s Sporty Winter Tracksuit - Grey / XL *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"TZ304-Grey-2XL","G2 TZ304 Men’s Sporty Winter Tracksuit - Grey / 2XL *KAMPANJ*",1.000,319.20,79.80,399.00,299.50,19.70,0.06171679197994987469
"womens-8805-l1-BLA-XS","Luxe Coat 8805 - Black / XS *KAMPANJ*",1.000,479.20,119.80,599.00,0.00,479.20,1.00000000000000000000
"womens-f-0357-f-0357-1-BLA-L","NC Normal Cotton Coat F-0357 / F-0357-1 - Black / L *KAMPANJ*",1.000,719.20,179.80,899.00,0.00,719.20,1.00000000000000000000
"womens-f-0357-f-0357-1-BLA-M","NC Normal Cotton Coat F-0357 / F-0357-1 - Black / M *KAMPANJ*",1.000,719.20,179.80,899.00,0.00,719.20,1.00000000000000000000
"womens-f-0357-f-0357-1-BLA-XXL","NC Normal Cotton Coat F-0357 / F-0357-1 - Black / XXL *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"womens-f-0474-f-0445-1-BEI-L","NC Normal Cotton Coat F-0474 / F-0445-1 - Beige / L *KAMPANJ*",1.000,0.00,0.00,0.00,0.00,0.00,
"womens-f-0474-f-0445-1-BEI-M","NC Normal Cotton Coat F-0474 / F-0445-1 - Beige / M *KAMPANJ*",1.000,719.20,179.80,899.00,0.00,719.20,1.00000000000000000000
"womens-f-0474-f-0445-1-BEI-XL","NC Normal Cotton Coat F-0474 / F-0445-1 - Beige / XL *KAMPANJ*",2.000,719.20,179.80,899.00,0.00,719.20,1.00000000000000000000
"womens-f-0474-f-0445-1-BLA-XXL","NC Normal Cotton Coat F-0474 / F-0445-1 - Black / XXL *KAMPANJ*",2.000,1438.40,359.60,1798.00,0.00,1438.40,1.00000000000000000000
"womens-f-0474-f-0445-1-BRO-XL","NC Normal Cotton Coat F-0474 / F-0445-1 - Brown / XL *KAMPANJ*",1.000,719.20,179.80,899.00,0.00,719.20,1.00000000000000000000
"womens-le850-BLA-M","ISMASH Glam Duo LE850 - Lady's 2pcs Set - Black / M *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"womens-me247-BLA-XL","ISMASH Glam Duo ME247 - Lady's 2pcs Set - Black / XL *KAMPANJ*",1.000,399.20,99.80,499.00,0.00,399.20,1.00000000000000000000
